frame,timestamp,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral
0,0.0,sad,1.6443380203448545,1.349258784318385e-11,9.57646576025878,8.365382995569692e-11,57.776263819710245,1.72015489890999e-07,31.002934634860434
5,0.16666666666666666,sad,2.976453295436698,1.1769530279880752e-10,17.050309005398095,3.0586184281376233e-10,57.93584930514391,3.3892370931523986e-07,22.037389697872978
10,0.3333333333333333,sad,6.73702920895989,1.1914506550420255e-09,8.622506029755236,5.820883185188348e-10,75.05631894208902,2.1552702241913624e-06,9.584149544486376
15,0.5,sad,5.625436827540398,8.85474592954294e-10,10.473232716321945,1.3057295696061733e-09,61.321449279785156,4.756113725079558e-06,22.57988303899765
20,0.6666666666666666,fear,0.0008482564327847896,5.523046567904155e-08,72.83797536349003,0.004115627725189876,1.7504720241394072,6.713362093372594,18.693234764723154
25,0.8333333333333334,sad,3.5067401826381683,6.110030537076483e-09,20.121917128562927,1.6686836634693947e-08,51.99456810951233,1.3146446065093187e-05,24.37676638364792
30,1.0,neutral,5.969611182808876,2.6947027942370028e-09,24.24805611371994,2.2567214763569154e-07,33.315661549568176,1.3598174142259722e-06,36.46667301654816
35,1.1666666666666667,sad,3.524901928001757,1.3542010117960227e-10,18.868943683442097,2.8687817721546036e-09,68.09599805450428,2.0924321301591881e-07,9.510156334051867
40,1.3333333333333333,neutral,6.217087432742119,2.1583659859381044e-08,32.46811330318451,1.6250316647870022e-06,26.850613951683044,4.5999179576483584e-06,34.46417450904846
45,1.5,sad,3.440586887668,2.3695074337209114e-10,27.10228587416242,2.070301399533703e-08,40.88857661349495,8.415207312735268e-07,28.568554349965375
50,1.6666666666666667,sad,2.7751022949814796,7.12127405655405e-11,37.756627798080444,1.3927606463959297e-09,40.06738066673279,1.031576246646182e-06,19.400885701179504
55,1.8333333333333333,fear,4.565108194947243,6.2078897578032866e-09,46.881845593452454,4.8071818747885686e-08,35.74599623680115,2.0889546092917044e-06,12.807047367095947
60,2.0,fear,6.082453951239586,1.7666922091930104e-08,51.05568170547485,5.864264074340042e-08,36.47032678127289,5.027123961554025e-06,6.391533464193344
65,2.1666666666666665,fear,2.6993971318006516,2.4315824961179677e-11,38.360995054244995,7.086404813644309e-10,36.63391470909119,5.036227879173794e-07,22.305692732334137
70,2.3333333333333335,neutral,0.48332340084016323,6.820943983243399e-10,39.54688310623169,2.600799853258451e-08,17.79727190732956,3.7746517023151682e-06,42.172521352767944
75,2.5,neutral,0.1715199206955731,6.169167959682934e-13,13.789747655391693,2.0275148747417315e-10,10.173211246728897,1.5877421599697072e-07,75.86552500724792
80,2.6666666666666665,sad,31.859847903251648,0.00016743884998504655,6.8367935717105865,0.00021029613890277687,45.63645422458649,2.7352324849516663e-06,15.666529536247253
85,2.8333333333333335,sad,2.069382243678837,3.1111128052132494e-06,46.34174362918659,1.595980960019839e-06,46.35154561418839,2.0791948421326437e-06,5.237322179951928
90,3.0,neutral,1.2860331684350967,1.556363815602424e-07,22.863906621932983,4.3752006462227655e-06,11.501466482877731,0.0006955041953915497,64.34789896011353
95,3.1666666666666665,fear,3.7134640620307997,7.826292370107507e-06,60.290302072799456,1.03697649505519e-05,33.823580601642206,0.00013271335764784929,2.1725059282786763
100,3.3333333333333335,sad,3.437718339238365,3.674601573514136e-08,39.23398086619605,1.9948884608661316e-07,53.921001682162085,9.29775825404634e-06,3.407284956302052
105,3.5,sad,7.612320943155401,2.2383453316848766e-07,29.410264421732954,3.464853928254305e-07,58.60824091532718,7.35317402249641e-05,4.369107037080173
110,3.6666666666666665,angry,39.562878012657166,0.00880698862602003,12.8080353140831,0.0005079398761154152,30.87947964668274,0.00014856883581160218,16.74014776945114
115,3.8333333333333335,neutral,3.2915938645601273,8.890470304390163e-09,27.97161638736725,6.352308457024947e-07,15.625600516796112,4.2476198558460965e-06,53.111183643341064
120,4.0,sad,3.73946912586689,5.0556440978066775e-09,28.532764315605164,7.350785258264381e-09,37.07813024520874,6.936664576073781e-07,30.649641156196594
125,4.166666666666667,neutral,1.0193979367613792,1.750741045192239e-10,20.91563194990158,5.8976802608246e-09,28.552696108818054,5.046233209071715e-07,49.51227307319641
